id,company,gap,location,status,priority,opened_at,opened_by_name,opened_by_phone,building,room_number,note
11ff1d31-a2a3-491b-8cd0-1ca0f8942573,תמר,מדרגה רופפת,שביל,טרם הועלה,נמוך,2026-05-19,רון פרץ,053-7267949,,,השביל מול חדר האוכל
b3412766-b279-4dc2-8518-54251bf85d79,צין,אסלה שבורה,פינת פריסה,טרם הועלה,גבוה,2026-08-11,נועה טוויל,053-4999343,,,חומרים בדרך
c55c136c-bfad-4142-bc8c-05233288365f,פארן,כיור שבור,ספריית קמנים,טופל,גבוה,2026-07-24,,,,,צריך להזמין קבלן חיצוני
8bf07427-9705-4e2d-b28e-0fa6c5084da7,תמר,מדחום/גלאי עשן לא תקין,מגורי בנות,טרם הועלה,גבוה,2026-04-06,יוסי אזולאי,055-3577535,אגף ב,104,
d7437f6b-2a47-451e-876b-065a6a12b844,צין,מזגן מטפטף,דשא,בטיפול,בינוני,2026-05-27,,,,,הדשא באזור הרחבה
f4874391-eda2-49d4-bcd2-e09f6163bbfd,פארן,שילוט לא ברור,פינת פריסה,בטיפול,נמוך,2026-04-25,,,,,
0c96dbd0-f3c3-47dc-a548-2149bdfdbf2a,תמר,ידית דלת שבורה,דשא,טרם הועלה,גבוה,2026-06-22,שירה בן דוד,053-0143914,,,הדשא באזור הרחבה
29d31aa2-a8dd-4e97-bc7d-882b0c1aae3a,תמר,תאורת חוץ כבויה,פינת פריסה,טרם הועלה,בינוני,2026-08-07,אבי עמר,058-7994784,,,
0c287c11-eec8-4460-b211-504bd7dc01f7,רמון,שילוט חסר,שביל,טרם הועלה,בינוני,2026-05-03,אריאל שרעבי,055-6395682,,,השביל מול חדר האוכל
e568e413-7685-4036-b98f-17ab94a088cb,רמון,גדר פרוצה,כיתות,בטיפול,נמוך,2026-08-21,דוד אברהם,055-0829406,,,חומרים בדרך
920d0133-d5f8-43c4-ab67-a10966d4586e,צין,מזרן קרוע,מגורי בנים,טרם הועלה,בינוני,2026-06-19,יוסי כהן,058-2163378,מבנה 4,311,מחכים לאישור תקציב
443c5ef7-78ba-4161-be66-1e8804f74665,בשור,פח אשפה חסר,"פינת גלח""צ",בטיפול,נמוך,2026-08-25,אריאל כהן,054-1780850,,,צריך להזמין קבלן חיצוני
944149d5-5f7c-4288-a6eb-affda5d1cdc0,בשור,וילון/תריס שבור,כיתות,בטיפול,נמוך,2026-07-12,עומר עמר,052-6684407,מבנה 1,206,מחכים לאישור תקציב
3aede92b-b7dc-4676-bf34-bb60b975c311,פארן,ברזייה לא עובדת,מגורי בנות,בטיפול,נמוך,2026-04-16,איתי אזולאי,053-3939798,מבנה 2,406,חומרים בדרך
5601a11d-5777-436f-a72a-1bf1513c7438,רמון,כבל חשמל מונח על הרצפה,פינת עישון,בטיפול,בינוני,2026-04-25,שלומי מזרחי,054-3603268,,,דחוף לטפל השבוע
854a0f94-0529-4eb0-9dab-6814fbf475a7,תמר,מדרגה רופפת,"פינת קק""ס",בטיפול,גבוה,2026-08-29,,,,,מחכים לאישור תקציב
bc615f28-b4f4-4f5c-ae5c-ddcbef3564d2,צין,כבל חשמל מונח על הרצפה,"פינת קק""ס",בטיפול,בינוני,2026-07-11,,,,,דווח כבר פעם קודמת
636138dd-2e64-4239-8797-cc47a2bba9e4,רמון,כבל חשמל מונח על הרצפה,כיתות,טופל,נמוך,2026-07-08,,,אגף א,105,
9deafdc2-e975-41bd-abb8-58e14c5bdf95,צין,קיר עם רטיבות,מגורי בנות,טופל,נמוך,2026-07-22,יוסי טוויל,053-9817719,אגף א,214,
f46ee9b2-dc06-4376-9781-26856814824e,פארן,חלון סדוק,"פינת קק""ס",טרם הועלה,בינוני,2026-05-23,עומר וקנין,053-4618471,,,
351d164e-3d70-4603-be9a-dc35bfaffcd6,צין,משטח בטון סדוק,מגורי בנים,טרם הועלה,בינוני,2026-03-26,אבי בן דוד,050-6734917,אגף ג,220,צריך להזמין קבלן חיצוני
18e560eb-1fdc-42ce-97ea-cb9efecd381c,תמר,ידית דלת שבורה,"פינת גלח""צ",טופל,נמוך,2026-06-28,יוסי גבאי,052-3615449,,,דווח כבר פעם קודמת
200470f0-cd9c-4296-aa22-25c7ce3f7eb9,צין,שקע חשמל לא תקין,דשא,טרם הועלה,גבוה,2026-06-07,,,,,הדשא ליד פינת הישיבה
cc961bd5-7edc-4e32-acde-35185e9d874e,צין,דלת שבורה,שביל,טופל,בינוני,2026-09-03,,,,,השביל מול חדר האוכל
864b5790-459b-42d7-af6b-1d9d978f7921,תמר,מדחום/גלאי עשן לא תקין,מגורי בנים,טרם הועלה,גבוה,2026-05-24,טל ביטון,058-3267569,,,דווח כבר פעם קודמת
462504ef-4ed2-4629-9968-01a5dd518591,פארן,מזגן לא עובד,"פינת קק""ס",בטיפול,בינוני,2026-07-12,,,,,דווח כבר פעם קודמת
b070b320-f8aa-4a1f-bcb0-7ba4f1bafc58,פארן,משטח בטון סדוק,פינת פריסה,טרם הועלה,בינוני,2026-03-30,,,,,
bd6ee0ae-a18b-4403-9b22-07c935f292a4,רמון,נורה שרופה,מתחם קמנים,טרם הועלה,בינוני,2026-08-03,גיא טוויל,055-8829383,,,
1cba3e23-39b7-48b8-9725-e7b95d9168ce,רמון,אין תאורת חירום,"פינת קק""ס",טרם הועלה,בינוני,2026-08-22,שלומי עמר,050-5471723,,,חומרים בדרך
36e2fa78-724c-4ab8-94e6-ec4c970d527d,צין,רשת צל קרועה,"פינת גלח""צ",בטיפול,בינוני,2026-08-27,שלומי ביטון,050-0453952,,,חומרים בדרך
1777046d-39ca-4287-bfff-b13ed6be929b,תמר,דלת שבורה,"פינת קק""ס",בטיפול,בינוני,2026-08-24,רון וקנין,058-6990236,,,
3fd9a233-0c26-4499-9266-23e3796cc25f,רמון,ברז דולף,"פינת גלח""צ",טרם הועלה,בינוני,2026-06-06,רון גבאי,052-9500267,,,מחכים לאישור תקציב
b0bba097-3117-4961-b398-3a25ac6a008b,פארן,מקלחת בלי לחץ מים,"דקצ""ו (דק קמנים)",טופל,נמוך,2026-05-30,טל וקנין,054-7661918,,,חומרים בדרך
c2a5003a-3dbb-4cbe-a968-ec28a350c51e,רמון,פח אשפה מלא וגדוש,שביל,טופל,בינוני,2026-05-28,,,,,השביל לכיוון הרחבה
f9bde672-b3e3-49bf-aae3-d5cff3bfe48c,רמון,אסלה שבורה,מתחם קמנים,בטיפול,בינוני,2026-06-22,יוסי אברהם,050-7386071,,,חומרים בדרך
763d2e08-0968-4ca1-85ad-0e4600bd5a4f,פארן,אין תאורת חירום,פינת פריסה,טרם הועלה,גבוה,2026-03-28,,,,,צריך להזמין קבלן חיצוני
9134cd37-b15f-42b0-b889-fe3a210f65a4,צין,ידית דלת שבורה,מתחם קמנים,טרם הועלה,בינוני,2026-08-01,יוסי פרץ,055-2189704,,,דחוף לטפל השבוע
64efc78c-8b90-4050-8f26-06ea65cf3310,צין,מזגן לא עובד,מגורי בנות,טרם הועלה,בינוני,2026-06-21,נועה שרעבי,052-5930407,מבנה 3,216,דחוף לטפל השבוע
15864b57-c3d5-489d-aea8-c2ad73de6877,בשור,גדר פרוצה,פינת עישון,טופל,גבוה,2026-03-19,אריאל מלכה,050-2838330,,,דווח כבר פעם קודמת
740673f8-6cba-4907-9688-4012fc346c6e,צין,מקלחת סתומה,פינת פריסה,בטיפול,גבוה,2026-05-28,יונתן חדד,050-2341342,,,דחוף לטפל השבוע
c9ec54c2-2442-4351-87ee-62c579c8c387,תמר,מקלחת בלי לחץ מים,"פינת קק""ס",טרם הועלה,בינוני,2026-07-05,רחל אברהם,053-2342171,,,
ea6c1be5-e1d5-4989-8238-cd1593248a90,צין,בור בריצוף,"פינת גלח""צ",טרם הועלה,בינוני,2026-09-01,טל מזרחי,052-4332480,,,
642aefac-dd3b-4b7b-996c-41051187fdb0,תמר,דלת לא נסגרת טוב,מתחם קמנים,טופל,בינוני,2026-05-17,,,,,
0c6ad01b-c6d6-4fa7-a848-e4a66d8888d8,תמר,אסלה שבורה,מגורי בנים,בטיפול,נמוך,2026-04-23,שירה לוי,055-4888292,,,מחכים לאישור תקציב
1da73114-9a47-4e16-938d-44bea4d38c55,תמר,אין תאורת חירום,"פינת גלח""צ",בטיפול,נמוך,2026-07-09,,,,,
19cf20b5-95f4-4d30-8093-b4786c015359,בשור,שילוט חסר,פינת עישון,בטיפול,בינוני,2026-04-17,,,,,מחכים לאישור תקציב
59217d66-53a2-4755-86da-8bd3963c23a1,רמון,ידית דלת שבורה,פינת עישון,טרם הועלה,בינוני,2026-07-28,טל בן דוד,058-4011298,,,
c405cae3-fdd3-4a7d-bf2d-42bfb2f63806,צין,מזרן קרוע,מתחם קמנים,טרם הועלה,בינוני,2026-08-06,אורית גבאי,055-7182643,,,יטופל בסבב הבא
7895836b-d492-4b89-857d-ee5cbcd12abc,בשור,אסלה שבורה,"פינת קק""ס",טרם הועלה,בינוני,2026-05-19,איתי לוי,052-7922780,,,צריך להזמין קבלן חיצוני
f9b5702f-9b25-4b17-b179-5458cc266976,תמר,ארון בגדים שבור,"פינת גלח""צ",טרם הועלה,בינוני,2026-08-07,יוסי לוי,058-9344183,,,
93610d13-1a26-4ac7-9bc0-aec90a06c536,תמר,ספסל שבור,פינת ישיבה,טרם הועלה,נמוך,2026-06-11,איתי לוי,052-6905992,,,
e191d8fe-0a38-406f-a426-8589a7c7b973,תמר,מזרן קרוע,שביל,בטיפול,גבוה,2026-06-08,עומר אזולאי,054-3639747,,,השביל מול חדר האוכל
3314f850-e1f4-4744-afef-446d9f164b01,פארן,מדרגה רופפת,פינת עישון,טרם הועלה,בינוני,2026-05-11,,,,,דחוף לטפל השבוע
4d54a608-62a6-4280-9c8a-88439c17def2,בשור,נורה שרופה,מתחם קמנים,בטיפול,בינוני,2026-09-08,רחל דהן,053-1502523,,,דווח כבר פעם קודמת
89b9d12e-957a-4ecd-875d-185966ad7f7f,רמון,רשת צל קרועה,פינת עישון,טרם הועלה,נמוך,2026-06-06,ליאור לוי,053-6937032,,,
