gap_id,message,created_at,created_by
dd60d945-b67a-416e-967b-3f9cdf6c4c5e,"טופל חלקית, נדרש עוד ביקור",2026-09-12 18:59:00,דניאל.כהן@kalag.test
caa9741d-e59a-4310-abdd-4f0c1c918b89,מחכים לאישור מנהל הקורס,2026-09-07 07:43:00,מאיה.לוי@kalag.test
caa9741d-e59a-4310-abdd-4f0c1c918b89,"טופל, ממתינים לאישור סופי מהמדריך",2026-09-11 11:06:00,נועה.אבידן@kalag.test
600a24bb-7d28-40c8-802b-bdacc6aeef9e,פנייה נשלחה לחברת התחזוקה,2026-04-03 16:47:00,מאיה.לוי@kalag.test
600a24bb-7d28-40c8-802b-bdacc6aeef9e,בוצע תיקון זמני עד להגעת הטכנאי,2026-04-04 02:58:00,מאיה.לוי@kalag.test
0562ba4f-6c92-4bf9-87c7-32eabef22ac2,"טכנאי הגיע, מזהה את הבעיה",2026-07-18 21:05:00,מאיה.לוי@kalag.test
0562ba4f-6c92-4bf9-87c7-32eabef22ac2,פנייה נשלחה לחברת התחזוקה,2026-08-17 14:39:00,יובל.שגיא@kalag.test
12cb827d-b454-4ff3-9726-528261a9f8fd,אושר תקציב לתיקון,2026-06-20 01:00:00,טל.רוזן@kalag.test
12cb827d-b454-4ff3-9726-528261a9f8fd,בוצע תיקון זמני עד להגעת הטכנאי,2026-08-10 10:03:00,עידו.פרץ@kalag.test
9f9c2438-a37b-46c9-aadc-bf74954d5866,אושר תקציב לתיקון,2026-08-24 22:09:00,נועה.אבידן@kalag.test
9f9c2438-a37b-46c9-aadc-bf74954d5866,"נבדק במקום, נדרש ציוד נוסף",2026-08-26 01:35:00,מאיה.לוי@kalag.test
9f9c2438-a37b-46c9-aadc-bf74954d5866,תואם מועד טיפול עם הקבלן,2026-09-03 13:23:00,מאיה.לוי@kalag.test
b1142200-b404-4621-8a5c-b83fb0bdc301,מחכים לאישור מנהל הקורס,2026-06-09 05:32:00,מאיה.לוי@kalag.test
b1142200-b404-4621-8a5c-b83fb0bdc301,בוצע תיקון זמני עד להגעת הטכנאי,2026-08-31 16:20:00,דניאל.כהן@kalag.test
57822bf2-2d53-4fa2-9b38-2aef464b1ca4,מחכים לאישור מנהל הקורס,2026-05-04 16:13:00,עידו.פרץ@kalag.test
e592aaa5-c681-4d92-ad90-a0a83618dea0,תואם מועד טיפול עם הקבלן,2026-08-06 16:38:00,יובל.שגיא@kalag.test
ca23b339-ddbd-4452-959d-b45afd5fdfad,בוצע תיקון זמני עד להגעת הטכנאי,2026-09-02 17:23:00,דניאל.כהן@kalag.test
bfd45649-80cd-4d23-8318-7a82578b451b,מחכים לאישור מנהל הקורס,2026-06-27 10:34:00,טל.רוזן@kalag.test
12760913-cf59-4bec-9ce8-4a4e64486707,"טופל, ממתינים לאישור סופי מהמדריך",2026-08-12 15:29:00,מאיה.לוי@kalag.test
5d16711a-ea60-4568-95b7-cb77d54df16d,"טופל, ממתינים לאישור סופי מהמדריך",2026-08-06 23:02:00,יובל.שגיא@kalag.test
5d16711a-ea60-4568-95b7-cb77d54df16d,"טכנאי הגיע, מזהה את הבעיה",2026-08-14 01:50:00,יובל.שגיא@kalag.test
8a461145-3f93-45df-ad62-b601ccbd7d10,מחכים לאישור מנהל הקורס,2026-04-28 13:48:00,טל.רוזן@kalag.test
8a461145-3f93-45df-ad62-b601ccbd7d10,מחכים לאישור מנהל הקורס,2026-07-02 01:53:00,עידו.פרץ@kalag.test
9ba3954e-22d3-48b0-b949-81d8f442aea6,הבעיה דווחה גם למוקד התחזוקה המרכזי,2026-06-09 22:27:00,טל.רוזן@kalag.test
a4c79e04-c7a3-48f7-8c64-60d2c52d3f6e,"טופל חלקית, נדרש עוד ביקור",2026-08-21 18:24:00,עידו.פרץ@kalag.test
1e13f06a-2355-4304-a54e-2b7d3a2feca0,הבעיה דווחה גם למוקד התחזוקה המרכזי,2026-09-08 16:46:00,יובל.שגיא@kalag.test
f2473562-aab5-42f5-9193-aab4513a06fe,"טופל חלקית, נדרש עוד ביקור",2026-09-07 00:15:00,נועה.אבידן@kalag.test
f2473562-aab5-42f5-9193-aab4513a06fe,הבעיה דווחה גם למוקד התחזוקה המרכזי,2026-09-10 14:07:00,יובל.שגיא@kalag.test
f2473562-aab5-42f5-9193-aab4513a06fe,בוצע תיקון זמני עד להגעת הטכנאי,2026-09-12 21:18:00,יובל.שגיא@kalag.test
fd285775-f706-44ae-9a51-31f7bf4b90a9,פנייה נשלחה לחברת התחזוקה,2026-05-19 16:42:00,דניאל.כהן@kalag.test
4994249b-5a12-4f1f-9c18-cc8794693775,"טופל, ממתינים לאישור סופי מהמדריך",2026-07-10 15:27:00,מאיה.לוי@kalag.test
4994249b-5a12-4f1f-9c18-cc8794693775,תואם מועד טיפול עם הקבלן,2026-08-24 21:01:00,נועה.אבידן@kalag.test
c184f218-c462-49f7-a36d-d3708535635d,מחכים לחלק חילוף מהספק,2026-05-04 04:41:00,נועה.אבידן@kalag.test
36e1c93f-9f89-4658-b715-cd29b7fbd62f,"נבדק במקום, נדרש ציוד נוסף",2026-09-08 20:32:00,נועה.אבידן@kalag.test
99ec3da0-3d27-405b-baef-a6944a5ba694,"טופל, ממתינים לאישור סופי מהמדריך",2026-08-28 19:10:00,נועה.אבידן@kalag.test
aa9ac512-20b2-4973-a022-c85205e11b27,בוצע תיקון זמני עד להגעת הטכנאי,2026-06-29 18:15:00,עידו.פרץ@kalag.test
aa9ac512-20b2-4973-a022-c85205e11b27,"טופל, ממתינים לאישור סופי מהמדריך",2026-07-15 15:13:00,טל.רוזן@kalag.test
78ff3459-a740-4ab1-a338-4989aec70858,אושר תקציב לתיקון,2026-05-02 18:51:00,יובל.שגיא@kalag.test
0976db85-38ec-4287-99ce-907cae15ce68,"טופל חלקית, נדרש עוד ביקור",2026-05-24 16:27:00,עידו.פרץ@kalag.test
0976db85-38ec-4287-99ce-907cae15ce68,הבעיה דווחה גם למוקד התחזוקה המרכזי,2026-06-26 03:18:00,מאיה.לוי@kalag.test
0976db85-38ec-4287-99ce-907cae15ce68,מחכים לאישור מנהל הקורס,2026-06-30 17:42:00,נועה.אבידן@kalag.test
8c76965e-fc2f-4e87-a780-9371134026ff,"הוזמן טכנאי, מגיע מחר",2026-09-12 09:30:00,דניאל.כהן@kalag.test
